index,A,B,ground_truth,celeb_id
0,celeba_2982_163357.jpg,celeba_6709_191295.jpg,different,2982_6709
1,casia_006224_00336049.jpg,casia_006677_00356264.jpg,different,006224_006677
2,lfw_Demi_Moore_Demi_Moore_0003.jpg,lfw_Roh_Moo-hyun_Roh_Moo-hyun_0001.jpg,different,Demi_Moore_Roh_Moo-hyun
3,lfw_Chanda_Rubin_Chanda_Rubin_0005.jpg,lfw_Yao_Ming_Yao_Ming_0007.jpg,different,Yao_Ming_Chanda_Rubin
4,casia_000776_00066914.jpg,casia_001669_00124119.jpg,different,001669_000776
5,lfw_Anna_Kournikova_Anna_Kournikova_0009.jpg,lfw_Gloria_Allred_Gloria_Allred_0001.jpg,different,Anna_Kournikova_Gloria_Allred
6,celeba_798_132490.jpg,celeba_8685_100977.jpg,different,8685_798
7,casia_004139_00240571.jpg,casia_009189_00448433.jpg,different,009189_004139
8,lfw_Torri_Edwards_Torri_Edwards_0002.jpg,lfw_Yoko_Ono_Yoko_Ono_0006.jpg,different,Torri_Edwards_Yoko_Ono
9,vggface2_n000074_0144_01.jpg,vggface2_n000238_0266_01.jpg,different,n000074_n000238
10,vggface2_n000058_0144_01.jpg,vggface2_n000497_0027_01.jpg,different,n000497_n000058
11,vggface2_n000145_0141_01.jpg,vggface2_n000299_0238_01.jpg,different,n000299_n000145
12,lfw_Amelie_Mauresmo_Amelie_Mauresmo_0008.jpg,lfw_Guillermo_Ortiz_Guillermo_Ortiz_0001.jpg,different,Guillermo_Ortiz_Amelie_Mauresmo
13,vggface2_n000327_0047_02.jpg,vggface2_n000432_0061_01.jpg,different,n000327_n000432
14,celeba_10165_040066.jpg,celeba_1739_120518.jpg,different,10165_1739
15,celeba_9254_086739.jpg,celeba_9771_094801.jpg,different,9254_9771
16,lfw_Andre_Agassi_Andre_Agassi_0023.jpg,lfw_Junichiro_Koizumi_Junichiro_Koizumi_0033.jpg,different,Junichiro_Koizumi_Andre_Agassi
17,vggface2_n000183_0069_01.jpg,vggface2_n000413_0172_01.jpg,different,n000413_n000183
18,vggface2_n000114_0298_02.jpg,vggface2_n000114_0148_04.jpg,same,n000114
19,lfw_Antonio_Banderas_Antonio_Banderas_0002.jpg,lfw_John_Paul_II_John_Paul_II_0011.jpg,different,Antonio_Banderas_John_Paul_II
20,celeba_2146_042639.jpg,celeba_2660_120286.jpg,different,2660_2146
21,lfw_Henrique_Meirelles_Henrique_Meirelles_0002.jpg,lfw_John_Negroponte_John_Negroponte_0015.jpg,different,Henrique_Meirelles_John_Negroponte
22,celeba_3768_175342.jpg,celeba_6342_132635.jpg,different,6342_3768
23,celeba_2935_159995.jpg,celeba_8985_187437.jpg,different,8985_2935
24,celeba_2478_162880.jpg,celeba_8406_197519.jpg,different,8406_2478
25,celeba_5291_026210.jpg,celeba_8788_020312.jpg,different,8788_5291
26,vggface2_n000049_0167_01.jpg,vggface2_n000345_0318_01.jpg,different,n000049_n000345
27,casia_001115_00091241.jpg,casia_003303_00201954.jpg,different,003303_001115
28,vggface2_n000075_0055_01.jpg,vggface2_n000278_0015_01.jpg,different,n000278_n000075
29,casia_001688_00124783.jpg,casia_008523_00425078.jpg,different,008523_001688
30,casia_004324_00250075.jpg,casia_006811_00362294.jpg,different,004324_006811
31,vggface2_n000197_0129_06.jpg,vggface2_n000197_0182_02.jpg,same,n000197
32,vggface2_n000187_0138_01.jpg,vggface2_n000479_0100_02.jpg,different,n000479_n000187
33,vggface2_n000144_0261_02.jpg,vggface2_n000152_0214_01.jpg,different,n000152_n000144
34,vggface2_n000233_0322_01.jpg,vggface2_n000233_0292_01.jpg,same,n000233
35,celeba_1811_108081.jpg,celeba_2237_171628.jpg,different,2237_1811
36,lfw_Lynne_Cheney_Lynne_Cheney_0002.jpg,lfw_Noelle_Bush_Noelle_Bush_0002.jpg,different,Lynne_Cheney_Noelle_Bush
37,casia_004075_00237718.jpg,casia_005048_00282580.jpg,different,004075_005048
38,celeba_2865_128666.jpg,celeba_8675_066774.jpg,different,2865_8675
39,lfw_Jesse_Ventura_Jesse_Ventura_0001.jpg,lfw_Pedro_Almodovar_Pedro_Almodovar_0004.jpg,different,Jesse_Ventura_Pedro_Almodovar
40,casia_000014_00001859.jpg,casia_003451_00209401.jpg,different,003451_000014
41,vggface2_n000304_0061_03.jpg,vggface2_n000304_0205_01.jpg,same,n000304
42,lfw_Ana_Guevara_Ana_Guevara_0005.jpg,lfw_Carolina_Kluft_Carolina_Kluft_0001.jpg,different,Carolina_Kluft_Ana_Guevara
43,casia_002691_00174161.jpg,casia_005706_00312189.jpg,different,002691_005706
44,celeba_218_041939.jpg,celeba_5059_018611.jpg,different,5059_218
45,celeba_5647_133081.jpg,celeba_622_021123.jpg,different,5647_622
46,vggface2_n000123_0226_01.jpg,vggface2_n000501_0107_01.jpg,different,n000123_n000501
47,celeba_1657_060991.jpg,celeba_951_140585.jpg,different,951_1657
48,celeba_6563_084476.jpg,celeba_7958_197074.jpg,different,7958_6563
49,vggface2_n000167_0280_01.jpg,vggface2_n000268_0135_01.jpg,different,n000268_n000167
50,celeba_6166_129373.jpg,celeba_956_093016.jpg,different,6166_956
51,vggface2_n000362_0004_01.jpg,vggface2_n000362_0205_01.jpg,same,n000362
52,celeba_2149_172714.jpg,celeba_6949_108644.jpg,different,2149_6949
53,vggface2_n000241_0281_01.jpg,vggface2_n000412_0085_04.jpg,different,n000241_n000412
54,casia_000041_00007738.jpg,casia_002935_00185754.jpg,different,000041_002935
55,lfw_Christine_Todd_Whitman_Christine_Todd_Whitman_0006.jpg,lfw_Yashwant_Sinha_Yashwant_Sinha_0006.jpg,different,Christine_Todd_Whitman_Yashwant_Sinha
56,vggface2_n000047_0008_02.jpg,vggface2_n000047_0094_01.jpg,same,n000047
57,lfw_George_Lopez_George_Lopez_0005.jpg,lfw_Philippe_Noiret_Philippe_Noiret_0001.jpg,different,George_Lopez_Philippe_Noiret
58,lfw_Isabelle_Huppert_Isabelle_Huppert_0001.jpg,lfw_Lim_Dong-won_Lim_Dong-won_0002.jpg,different,Isabelle_Huppert_Lim_Dong-won
59,vggface2_n000245_0087_01.jpg,vggface2_n000429_0402_01.jpg,different,n000429_n000245
60,casia_004222_00245048.jpg,casia_007525_00389890.jpg,different,007525_004222
61,vggface2_n000251_0280_01.jpg,vggface2_n000317_0041_01.jpg,different,n000251_n000317
62,lfw_Donald_Rumsfeld_Donald_Rumsfeld_0065.jpg,lfw_Ernie_Els_Ernie_Els_0002.jpg,different,Ernie_Els_Donald_Rumsfeld
63,lfw_Silvio_Berlusconi_Silvio_Berlusconi_0011.jpg,lfw_Theresa_May_Theresa_May_0002.jpg,different,Theresa_May_Silvio_Berlusconi
64,celeba_6092_034294.jpg,celeba_977_041723.jpg,different,977_6092
65,celeba_5325_200697.jpg,celeba_7925_114252.jpg,different,5325_7925
66,celeba_1810_103981.jpg,celeba_2170_088947.jpg,different,1810_2170
67,lfw_Nasser_al-Kidwa_Nasser_al-Kidwa_0001.jpg,lfw_William_Rehnquist_William_Rehnquist_0002.jpg,different,Nasser_al-Kidwa_William_Rehnquist
68,celeba_2385_056444.jpg,celeba_7384_152040.jpg,different,2385_7384
69,lfw_Hans_Blix_Hans_Blix_0024.jpg,lfw_Robert_De_Niro_Robert_De_Niro_0004.jpg,different,Robert_De_Niro_Hans_Blix
70,casia_001994_00138686.jpg,casia_001994_00138657.jpg,same,001994
71,celeba_6840_040516.jpg,celeba_6938_017816.jpg,different,6938_6840
72,vggface2_n000166_0044_01.jpg,vggface2_n000482_0071_02.jpg,different,n000482_n000166
73,vggface2_n000447_0042_01.jpg,vggface2_n000495_0037_01.jpg,different,n000447_n000495
74,celeba_2182_166274.jpg,celeba_4551_099380.jpg,different,4551_2182
75,lfw_John_Negroponte_John_Negroponte_0027.jpg,lfw_Russell_Simmons_Russell_Simmons_0002.jpg,different,John_Negroponte_Russell_Simmons
76,celeba_2351_058779.jpg,celeba_761_166262.jpg,different,761_2351
77,vggface2_n000295_0028_01.jpg,vggface2_n000341_0167_02.jpg,different,n000295_n000341
78,celeba_10044_086560.jpg,celeba_9904_115310.jpg,different,10044_9904
79,casia_003272_00200563.jpg,casia_005214_00290050.jpg,different,005214_003272
80,celeba_10103_059743.jpg,celeba_5451_020917.jpg,different,5451_10103
81,casia_003762_00223736.jpg,casia_007307_00381794.jpg,different,007307_003762
82,celeba_1718_085507.jpg,celeba_2303_171982.jpg,different,2303_1718
83,casia_003052_00191278.jpg,casia_004440_00256132.jpg,different,003052_004440
84,casia_002132_00145887.jpg,casia_002902_00184423.jpg,different,002902_002132
85,vggface2_n000121_0267_01.jpg,vggface2_n000139_0261_01.jpg,different,n000121_n000139
86,casia_003505_00211979.jpg,casia_009503_00458483.jpg,different,009503_003505
87,vggface2_n000090_0482_01.jpg,vggface2_n000090_0309_01.jpg,same,n000090
88,lfw_Hun_Sen_Hun_Sen_0001.jpg,lfw_Paul_Wolfowitz_Paul_Wolfowitz_0008.jpg,different,Paul_Wolfowitz_Hun_Sen
89,lfw_James_Kopp_James_Kopp_0001.jpg,lfw_Laura_Linney_Laura_Linney_0002.jpg,different,Laura_Linney_James_Kopp
90,celeba_1961_157816.jpg,celeba_841_005082.jpg,different,841_1961
91,celeba_1921_166615.jpg,celeba_6715_042358.jpg,different,1921_6715
92,casia_001375_00110197.jpg,casia_007357_00383731.jpg,different,001375_007357
93,casia_001242_00101941.jpg,casia_006754_00360111.jpg,different,006754_001242
94,celeba_7193_199552.jpg,celeba_9078_194621.jpg,different,7193_9078
95,lfw_Joan_Claybrook_Joan_Claybrook_0001.jpg,lfw_Jon_Gruden_Jon_Gruden_0007.jpg,different,Joan_Claybrook_Jon_Gruden
96,casia_000659_00060518.jpg,casia_003563_00214116.jpg,different,003563_000659
97,casia_008783_00434847.jpg,casia_009900_00471600.jpg,different,009900_008783
98,casia_006415_00346048.jpg,casia_009610_00462116.jpg,different,006415_009610
99,celeba_1996_105487.jpg,celeba_8019_063271.jpg,different,8019_1996
100,vggface2_n000349_0078_03.jpg,vggface2_n000490_0308_01.jpg,different,n000349_n000490
101,casia_000494_00048391.jpg,casia_001149_00094037.jpg,different,001149_000494
102,lfw_Jay_Garner_Jay_Garner_0004.jpg,lfw_Jayson_Williams_Jayson_Williams_0003.jpg,different,Jayson_Williams_Jay_Garner
103,vggface2_n000011_0221_01.jpg,vggface2_n000011_0386_04.jpg,same,n000011
104,vggface2_n000369_0270_01.jpg,vggface2_n000459_0057_01.jpg,different,n000459_n000369
105,casia_002486_00163430.jpg,casia_004403_00254497.jpg,different,004403_002486
106,vggface2_n000191_0068_02.jpg,vggface2_n000191_0054_01.jpg,same,n000191
107,casia_000069_00011029.jpg,casia_009061_00444332.jpg,different,000069_009061
108,celeba_1091_021492.jpg,celeba_3641_140938.jpg,different,1091_3641
109,celeba_2283_181041.jpg,celeba_8885_146121.jpg,different,8885_2283
110,celeba_1804_079059.jpg,celeba_7554_157395.jpg,different,1804_7554
111,lfw_John_Walsh_John_Walsh_0002.jpg,lfw_Monica_Lewinsky_Monica_Lewinsky_0001.jpg,different,John_Walsh_Monica_Lewinsky
112,casia_002631_00170018.jpg,casia_006060_00328597.jpg,different,002631_006060
113,vggface2_n000388_0126_02.jpg,vggface2_n000484_0025_01.jpg,different,n000484_n000388
114,casia_000749_00065445.jpg,casia_000896_00074906.jpg,different,000896_000749
115,casia_003109_00193739.jpg,casia_003732_00222078.jpg,different,003109_003732
116,lfw_Don_Nickles_Don_Nickles_0001.jpg,lfw_Jennifer_Aniston_Jennifer_Aniston_0018.jpg,different,Don_Nickles_Jennifer_Aniston
117,vggface2_n000248_0355_01.jpg,vggface2_n000454_0108_02.jpg,different,n000248_n000454
118,lfw_Dean_Barkley_Dean_Barkley_0003.jpg,lfw_Denise_Johnson_Denise_Johnson_0002.jpg,different,Denise_Johnson_Dean_Barkley
119,celeba_6791_010419.jpg,celeba_8086_076582.jpg,different,8086_6791
120,vggface2_n000201_0210_01.jpg,vggface2_n000431_0308_01.jpg,different,n000201_n000431
121,lfw_Carson_Daly_Carson_Daly_0002.jpg,lfw_Vin_Diesel_Vin_Diesel_0001.jpg,different,Vin_Diesel_Carson_Daly
122,celeba_1207_067946.jpg,celeba_1207_099386.jpg,same,1207
123,lfw_Gao_Qiang_Gao_Qiang_0001.jpg,lfw_Vladimir_Spidla_Vladimir_Spidla_0001.jpg,different,Vladimir_Spidla_Gao_Qiang
124,casia_007595_00391914.jpg,casia_007804_00399776.jpg,different,007804_007595
125,celeba_5086_143024.jpg,celeba_5818_127987.jpg,different,5818_5086
126,celeba_10163_072696.jpg,celeba_2046_090114.jpg,different,10163_2046
127,vggface2_n000028_0160_01.jpg,vggface2_n000459_0162_01.jpg,different,n000459_n000028
128,casia_000085_00013113.jpg,casia_005110_00285930.jpg,different,000085_005110
129,celeba_2310_091491.jpg,celeba_3576_178132.jpg,different,2310_3576
130,lfw_Jon_Gruden_Jon_Gruden_0002.jpg,lfw_Kevin_Costner_Kevin_Costner_0002.jpg,different,Jon_Gruden_Kevin_Costner
131,vggface2_n000096_0090_04.jpg,vggface2_n000158_0249_04.jpg,different,n000158_n000096
132,celeba_3554_072843.jpg,celeba_9781_114399.jpg,different,9781_3554
133,lfw_Kim_Dae-jung_Kim_Dae-jung_0006.jpg,lfw_Mark_Wahlberg_Mark_Wahlberg_0002.jpg,different,Mark_Wahlberg_Kim_Dae-jung
134,lfw_Carlos_Menem_Carlos_Menem_0021.jpg,lfw_Saddam_Hussein_Saddam_Hussein_0020.jpg,different,Saddam_Hussein_Carlos_Menem
135,lfw_George_HW_Bush_George_HW_Bush_0002.jpg,lfw_LeAnn_Rimes_LeAnn_Rimes_0002.jpg,different,George_HW_Bush_LeAnn_Rimes
136,lfw_Aleksander_Kwasniewski_Aleksander_Kwasniewski_0003.jpg,lfw_Tiger_Woods_Tiger_Woods_0003.jpg,different,Aleksander_Kwasniewski_Tiger_Woods
137,celeba_6570_007812.jpg,celeba_8699_063960.jpg,different,8699_6570
